90 1586
1 2 -49
1 3 10
1 4 -24
1 5 -50
1 6 1
1 7 7
1 8 -21
1 9 13
1 10 -4
1 11 -24
1 12 -2
1 13 47
1 14 -41
1 15 37
1 16 18
1 17 -41
1 18 9
1 19 6
1 20 26
1 21 -38
1 22 46
1 23 -43
1 24 33
1 25 44
1 26 13
1 27 -17
1 28 -23
1 29 -46
1 30 42
2 4 1
2 5 32
2 6 26
2 7 4
2 8 -39
2 9 -7
2 10 -1
2 11 -20
2 12 1
2 13 -49
2 14 13
2 15 8
2 16 22
2 17 -49
2 18 -3
2 19 2
2 20 -27
2 21 -28
2 22 -26
2 23 4
2 24 -18
2 25 -3
2 26 35
2 27 16
2 28 -5
2 29 -29
2 30 -28
3 4 40
3 5 -18
3 6 28
3 7 37
3 8 -37
3 9 42
3 10 -16
3 11 33
3 12 -42
3 13 -4
3 14 12
3 15 39
3 16 -41
3 17 -21
3 18 -14
3 19 10
3 20 -23
3 21 29
3 22 -20
3 23 5
3 24 -34
3 25 35
3 26 15
3 27 35
3 28 -21
3 29 -3
3 30 44
4 5 -18
4 6 -22
4 7 -41
4 8 2
4 9 -41
4 10 28
4 11 -4
4 12 47
4 13 21
4 14 24
4 15 -3
4 16 17
4 17 -16
4 18 48
4 19 -46
4 20 -31
4 21 16
4 22 24
4 23 -17
4 24 45
4 25 42
4 26 -46
4 27 -42
4 28 16
4 29 36
5 6 36
5 7 20
5 8 -30
5 9 18
5 10 -29
5 11 -44
5 12 -1
5 13 -29
5 14 41
5 15 6
5 16 28
5 17 41
5 18 14
5 19 -12
5 20 -13
5 21 -1
5 22 -15
5 23 -17
5 24 34
5 25 15
5 26 4
5 27 12
5 28 -17
5 29 -1
5 30 10
6 7 -24
6 8 -2
6 9 -23
6 10 32
6 11 -12
6 12 -24
6 13 6
6 14 47
6 15 13
6 16 -40
6 17 48
6 18 1
6 19 4
6 20 15
6 22 -16
6 23 -40
6 24 -4
6 25 12
6 26 28
6 27 -8
6 28 -48
6 29 32
6 30 33
7 8 4
7 9 -15
7 10 -42
7 11 -48
7 12 -49
7 13 -25
7 14 21
7 15 17
7 16 18
7 17 -24
7 18 9
7 19 30
7 20 -5
7 21 -1
7 22 16
7 23 -28
7 24 -31
7 25 16
7 26 -29
7 27 -37
7 28 2
7 29 33
7 30 -12
8 9 -27
8 10 9
8 11 22
8 12 -35
8 13 38
8 14 -4
8 16 40
8 17 -28
8 18 -26
8 19 -49
8 20 41
8 21 -26
8 22 -30
8 23 -41
8 24 19
8 25 -42
8 26 -6
8 27 50
8 28 41
8 29 22
8 30 26
9 10 -34
9 11 -15
9 12 23
9 13 -33
9 14 35
9 15 10
9 16 -40
9 17 11
9 18 9
9 19 35
