63 1899
63 1 1.000000
63 2 1.000000
3 1 1.000000
3 2 1.000000
3 63 1.000000
4 2 1.000000
4 63 1.000000
4 3 1.000000
5 2 1.000000
5 63 1.000000
5 3 1.000000
5 4 1.000000
6 1 1.000000
6 2 1.000000
6 63 1.000000
6 3 1.000000
6 4 1.000000
6 5 1.000000
7 2 1.000000
7 63 1.000000
7 3 1.000000
7 4 1.000000
7 5 1.000000
7 6 1.000000
8 2 1.000000
8 63 1.000000
8 3 1.000000
8 4 1.000000
8 5 1.000000
8 6 1.000000
8 7 1.000000
9 2 1.000000
9 63 1.000000
9 3 1.000000
9 4 1.000000
9 5 1.000000
9 6 1.000000
9 7 1.000000
9 8 1.000000
10 2 1.000000
10 63 1.000000
10 3 1.000000
10 4 1.000000
10 5 1.000000
10 6 1.000000
10 7 1.000000
10 8 1.000000
10 9 1.000000
11 2 1.000000
11 63 1.000000
11 3 1.000000
11 4 1.000000
11 5 1.000000
11 6 1.000000
11 7 1.000000
11 8 1.000000
11 9 1.000000
11 10 1.000000
12 2 1.000000
12 63 1.000000
12 3 1.000000
12 4 1.000000
12 5 1.000000
12 6 1.000000
12 7 1.000000
12 8 1.000000
12 9 1.000000
12 10 1.000000
12 11 1.000000
13 2 1.000000
13 63 1.000000
13 3 1.000000
13 4 1.000000
13 5 1.000000
13 6 1.000000
13 7 1.000000
13 8 1.000000
13 9 1.000000
13 10 1.000000
13 11 1.000000
13 12 1.000000
14 2 1.000000
14 63 1.000000
14 3 1.000000
14 4 1.000000
14 5 1.000000
14 6 1.000000
14 7 1.000000
14 8 1.000000
14 9 1.000000
14 10 1.000000
14 11 1.000000
14 12 1.000000
14 13 1.000000
15 2 1.000000
15 63 1.000000
15 3 1.000000
15 4 1.000000
15 5 1.000000
15 6 1.000000
15 7 1.000000
15 8 1.000000
15 9 1.000000
15 10 1.000000
15 11 1.000000
15 12 1.000000
15 13 1.000000
15 14 1.000000
16 2 1.000000
16 63 1.000000
16 3 1.000000
16 4 1.000000
16 5 1.000000
16 6 1.000000
16 7 1.000000
16 8 1.000000
16 9 1.000000
16 10 1.000000
16 11 1.000000
16 12 1.000000
16 13 1.000000
16 14 1.000000
16 15 1.000000
17 1 1.000000
17 2 1.000000
17 63 1.000000
17 3 1.000000
17 4 1.000000
17 5 1.000000
17 6 1.000000
17 7 1.000000
17 8 1.000000
17 9 1.000000
17 10 1.000000
17 11 1.000000
17 12 1.000000
17 13 1.000000
17 14 1.000000
17 15 1.000000
17 16 1.000000
18 2 1.000000
18 63 1.000000
18 3 1.000000
18 4 1.000000
18 5 1.000000
18 6 1.000000
18 7 1.000000
18 8 1.000000
18 9 1.000000
18 10 1.000000
18 11 1.000000
18 12 1.000000
18 13 1.000000
18 14 1.000000
18 15 1.000000
18 16 1.000000
18 17 1.000000
19 2 1.000000
19 63 1.000000
19 3 1.000000
19 4 1.000000
19 5 1.000000
19 6 1.000000
19 7 1.000000
19 8 1.000000
19 9 1.000000
19 10 1.000000
19 11 1.000000
19 12 1.000000
19 13 1.000000
19 14 1.000000
19 15 1.000000
19 16 1.000000
19 17 1.000000
19 18 1.000000
20 2 1.000000
20 63 1.000000
20 3 1.000000
20 4 1.000000
20 5 1.000000
20 6 1.000000
20 7 1.000000
20 8 1.000000
20 9 1.000000
20 10 1.000000
20 11 1.000000
20 12 1.000000
20 13 1.000000
20 14 1.000000
20 15 1.000000
20 16 1.000000
20 17 1.000000
20 18 1.000000
20 19 1.000000
21 2 1.000000
21 63 1.000000
21 3 1.000000
21 4 1.000000
21 5 1.000000
21 6 1.000000
21 7 1.000000
21 8 1.000000
21 9 1.000000
21 10 1.000000
