81 384
1 2 106
1 3 -156
1 4 -36
1 5 219
1 6 -39
1 7 4
1 8 -104
1 9 280
1 10 -126
1 11 49
1 12 85
1 13 -88
1 14 -20
1 15 79
1 16 12
1 17 -63
1 18 76
1 19 53
1 20 -12
1 21 -88
1 22 26
1 23 271
1 24 156
1 25 120
1 26 34
1 27 189
1 28 286
1 29 310
1 30 4
1 31 68
1 32 291
1 33 93
1 34 8
1 35 -29
1 36 54
1 37 -73
1 38 91
1 39 460
1 40 -182
1 41 121
1 42 -321
1 43 245
1 44 -84
1 45 -91
1 46 -223
1 47 5
1 48 174
1 49 83
1 50 97
1 51 62
1 52 23
1 53 -27
1 54 96
1 55 131
1 56 37
1 57 -99
1 58 -124
1 59 28
1 60 115
1 61 71
1 62 -106
1 63 164
1 64 90
1 65 159
1 66 -64
1 67 -534
1 68 97
1 69 -55
1 70 104
1 71 159
1 72 51
1 73 81
1 74 187
1 75 139
1 76 -13
1 77 -42
1 78 95
1 79 14
1 80 -492
1 81 398
2 3 26
2 20 -78
2 32 -66
2 61 31
2 63 -24
2 64 89
2 73 16
3 16 39
3 31 34
3 47 -22
3 50 24
3 70 38
4 7 19
4 11 -15
4 13 -70
4 30 34
4 35 -33
4 39 -30
4 40 47
4 49 56
4 56 22
4 64 85
4 65 8
5 15 -85
5 22 -36
5 23 -96
5 30 -59
5 32 -51
5 60 -50
5 67 90
6 12 13
6 49 31
6 50 -75
6 72 64
6 73 -39
7 8 30
7 12 -9
7 16 -87
7 26 -94
7 33 -9
7 34 27
7 58 39
7 73 -9
8 19 -34
8 22 11
8 80 51
9 19 -63
9 32 -34
9 36 46
9 42 91
9 44 -63
9 57 -58
9 67 -82
9 71 -82
9 76 -35
10 15 47
10 18 76
10 23 -36
10 40 63
11 21 -5
11 24 -98
11 44 37
11 52 8
11 63 -45
11 69 19
11 71 -42
12 18 -100
12 24 -54
12 27 -19
12 29 11
12 41 1
12 47 -37
12 58 54
12 63 -27
12 68 18
13 44 2
13 50 98
13 62 55
13 67 33
13 81 -75
14 20 -47
14 25 65
14 42 84
14 43 -52
14 73 66
15 21 -39
15 28 49
15 75 -28
16 18 13
16 45 -86
16 56 -13
16 65 -91
16 67 32
16 70 38
16 80 94
17 19 94
17 32 -82
17 56 63
17 64 -1
17 70 68
18 53 -49
18 59 -41
18 71 22
18 77 64
19 25 -88
19 35 -43
19 37 8
19 44 -61
19 52 52
19 65 60
19 80 24
20 31 48
20 34 -92
20 39 -99
20 45 26
20 68 43
20 71 51
20 75 99
20 80 91
21 33 83
22 52 -79
22 70 -76
22 74 93
23 41 -65
23 42 68
23 50 -41
23 51 -92
23 55 54
23 58 -44
23 70 -56
23 77 4
24 26 -23
24 37 17
24 39 7
24 50 -95
24 61 -14
24 75 -88
24 78 92
25 47 58
25 64 -87
25 67 14
25 72 -94
25 78 6
26 34 90
26 36 -59
26 39 25
26 42 43
26 46 69
26 50 -51
26 54 -16
26 56 -39
26 63 -88
26 78 41
27 43 -79
27 45 99
27 49 -91
27 78 -65
27 80 27
27 81 -94
28 35 18
28 39 -65
28 46 -100
28 49 -57
28 50 -15
28 78 -77
29 38 -30
29 49 -77
29 60 -51
29 68 -95
29 69 31
30 66 -1
30 67 56
30 70 -92
31 32 -83
31 36 -95
31 47 58
31 52 50
31 73 -42
31 78 -87
32 51 7
32 64 6
32 66 60
32 68 19
32 81 -23
33 45 -98
33 55 -74
33 66 67
33 73 -24
34 47 -47
34 48 -39
34 70 -47
34 75 56
35 40 28
35 44 99
35 50 -34
35 52 -37
35 55 60
36 40 57
36 56 -99
36 57 58
36 67 -38
37 74 -37
38 67 26
38 68 59
38 71 -30
38 81 -74
39 54 -54
39 59 97
39 61 -86
39 62 22
39 67 -35
39 68 -98
39 73 -97
39 81 -7
40 42 -23
40 51 -29
40 62 30
41 71 -79
42 43 -65
42 44 15
42 60 79
42 61 27
42 76 -44
43 47 -45
43 49 -46
43 66 24
44 74 -92
44 76 91
45 56 -23
45 57 69
45 62 36
45 74 8
46 59 -10
46 66 29
46 67 76
46 69 -55
46 72 68
46 76 33
46 80 77
47 57 46
47 63 93
47 64 -96
47 69 8
48 58 -69
48 67 52
48 71 -72
48 72 35
48 79 -94
49 50 39
49 53 84
50 67 85
50 72 -89
50 76 -22
51 59 -75
51 67 93
52 81 -25
53 54 -30
53 59 -50
53 62 5
53 64 -85
53 80 52
54 70 -88
54 73 73
55 59 42
55 62 -59
55 65 -47
55 72 -73
55 75 56
55 77 -36
56 63 14
56 72 -57
56 77 53
57 62 24
57 67 -65
57 70 -19
57 78 72
58 66 4
58 73 52
59 64 13
59 80 -21
60 74 -13
60 80 5
61 71 15
62 64 79
62 65 -57
62 70 61
62 72 -14
62 74 -59
63 74 -55
65 67 46
66 69 -20
67 70 67
67 72 -9
67 78 17
68 75 -3
70 71 -29
70 72 -34
70 75 -20
72 80 76
75 76 -57
75 77 -73
75 79 -69
79 80 83
80 81 -85
